season,team_api_id,time,total_gols_scored,total_partidas,media_gols_partida
2010/2011,8483,Blackpool,55,38,1.4473684210526316
2008/2009,7947,FCV Dender EH,44,34,1.2941176470588236
2015/2016,7896,Lugano,46,36,1.2777777777777777
2008/2009,9996,Royal Excel Mouscron,42,34,1.2352941176470589
2015/2016,8306,UD Las Palmas,45,38,1.1842105263157894
2015/2016,8678,Bournemouth,45,38,1.1842105263157894
2012/2013,8194,Fortuna Düsseldorf,39,34,1.1470588235294117
2012/2013,9798,Reading,43,38,1.131578947368421
2008/2009,6601,FC Volendam,38,34,1.1176470588235294
2015/2016,8262,SV Darmstadt 98,38,34,1.1176470588235294
2015/2016,177361,Termalica Bruk-Bet Nieciecza,33,30,1.1
2009/2010,9867,CD Tenerife,40,38,1.0526315789473684
2015/2016,8121,Angers SCO,40,38,1.0526315789473684
2015/2016,9817,Watford,40,38,1.0526315789473684
2011/2012,8457,Dunfermline Athletic,40,38,1.0526315789473684
2008/2009,4049,Tubize,35,34,1.0294117647058822
2010/2011,8152,FC St. Pauli,35,34,1.0294117647058822
2009/2010,9868,Xerez Club Deportivo,38,38,1.0
2008/2009,8388,CD Numancia,38,38,1.0
2011/2012,9836,Dijon FCO,38,38,1.0
2015/2016,188163,Tondela,34,34,1.0
2015/2016,208931,Carpi,37,38,0.9736842105263158
2015/2016,6391,GFC Ajaccio,37,38,0.9736842105263158
2015/2016,8234,FC Ingolstadt 04,33,34,0.9705882352941176
2010/2011,9765,Portimonense,29,30,0.9666666666666667
2010/2011,10278,Hércules Club de Fútbol,36,38,0.9473684210526315
2011/2012,6269,Novara,34,36,0.9444444444444444
2010/2011,6351,KAS Eupen,28,30,0.9333333333333333
2015/2016,9891,Frosinone,35,38,0.9210526315789473
2014/2015,8460,SC Paderborn 07,31,34,0.9117647058823529
2011/2012,4064,Feirense,27,30,0.9
2010/2011,9858,Brescia,34,38,0.8947368421052632
2008/2009,8479,RC Recreativo,34,38,0.8947368421052632
2015/2016,8197,Leicester City,68,76,0.8947368421052632
2008/2009,8398,FC Energie Cottbus,30,34,0.8823529411764706
2008/2009,8295,Karlsruher SC,30,34,0.8823529411764706
2008/2009,10213,Amadora,26,30,0.8666666666666667
2014/2015,6547,FC Penafiel,29,34,0.8529411764705882
2008/2009,9912,DSC Arminia Bielefeld,29,34,0.8529411764705882
2013/2014,9776,Eintracht Braunschweig,29,34,0.8529411764705882
2013/2014,8344,Cardiff City,32,38,0.8421052631578947
2015/2016,8573,KV Oostende,55,66,0.8333333333333334
2008/2009,7992,Trofense,25,30,0.8333333333333334
2009/2010,4170,US Boulogne Cote D'Opale,31,38,0.8157894736842105
2014/2015,8550,FC Metz,31,38,0.8157894736842105
2015/2016,6367,Uniao da Madeira,27,34,0.7941176470588235
2008/2009,8690,Reggio Calabria,30,38,0.7894736842105263
2008/2009,9746,Le Havre AC,30,38,0.7894736842105263
2012/2013,8357,SpVgg Greuther Fürth,26,34,0.7647058823529411
2008/2009,8549,Middlesbrough,28,38,0.7368421052631579
2013/2014,8027,Zawisza Bydgoszcz,43,60,0.7166666666666667
2012/2013,9878,Pescara,27,38,0.7105263157894737
2014/2015,6631,FC Dordrecht,24,34,0.7058823529411765
2010/2011,8350,1. FC Kaiserslautern,48,68,0.7058823529411765
2008/2009,8614,Sparta Rotterdam,46,68,0.6764705882352942
2013/2014,6433,Go Ahead Eagles,45,68,0.6617647058823529
2015/2016,274581,Royal Excel Mouscron,39,60,0.65
2015/2016,8372,SD Eibar,49,76,0.6447368421052632
2009/2010,9976,Bari,49,76,0.6447368421052632
2011/2012,9777,Servette FC,45,70,0.6428571428571429
2014/2015,8573,KV Oostende,40,66,0.6060606060606061
2014/2015,8197,Leicester City,46,76,0.6052631578947368
2014/2015,8534,Empoli,46,76,0.6052631578947368
2010/2011,8548,Rangers,88,152,0.5789473684210527
2014/2015,7869,Córdoba CF,22,38,0.5789473684210527
2008/2009,9911,VfL Bochum,39,68,0.5735294117647058
2008/2009,8682,Le Mans FC,43,76,0.5657894736842105
2012/2013,10242,ES Troyes AC,43,76,0.5657894736842105
2009/2010,8191,Burnley,42,76,0.5526315789473685
2010/2011,108893,AC Arles-Avignon,21,38,0.5526315789473685
2013/2014,9876,Hellas Verona,62,114,0.543859649122807
2009/2010,8548,Rangers,82,152,0.5394736842105263
2014/2015,274581,Royal Excel Mouscron,32,60,0.5333333333333333
2014/2015,8027,Zawisza Bydgoszcz,32,60,0.5333333333333333
2008/2009,9999,KSV Roeselare,33,62,0.532258064516129
2011/2012,9998,RAEC Mons,50,94,0.5319148936170213
2015/2016,8534,Empoli,40,76,0.5263157894736842
2014/2015,8019,Górnik Łęczna,31,60,0.5166666666666667
2013/2014,8537,Livorno,39,76,0.5131578947368421
2012/2013,1773,Oud-Heverlee Leuven,46,90,0.5111111111111111
2012/2013,9998,RAEC Mons,48,94,0.5106382978723404
2008/2009,8548,Rangers,77,152,0.506578947368421
2011/2012,8548,Rangers,77,152,0.506578947368421
2009/2010,8658,Birmingham City,38,76,0.5
2015/2016,8019,Górnik Łęczna,30,60,0.5
2008/2009,6421,Leixões SC,30,60,0.5
2008/2009,8462,Portsmouth,38,76,0.5
2008/2009,8596,Falkirk,37,76,0.4868421052631579
2010/2011,8658,Birmingham City,37,76,0.4868421052631579
2009/2010,9911,VfL Bochum,33,68,0.4852941176470588
2015/2016,158085,FC Arouca,47,98,0.47959183673469385
2009/2010,8682,Le Mans FC,36,76,0.47368421052631576
2009/2010,9999,KSV Roeselare,29,62,0.46774193548387094
2015/2016,1773,Oud-Heverlee Leuven,42,90,0.4666666666666667
2015/2016,8284,Dundee FC,53,114,0.4649122807017544
2014/2015,10268,Elche CF,35,76,0.4605263157894737
2012/2013,9777,Servette FC,32,70,0.45714285714285713
2014/2015,7788,SC Cambuur,46,102,0.45098039215686275
2008/2009,8244,Widzew Łódź,27,60,0.45
2009/2010,8242,Odra Wodzisław,27,60,0.45
2009/2010,8462,Portsmouth,34,76,0.4473684210526316
2014/2015,8372,SD Eibar,34,76,0.4473684210526316
2009/2010,8614,Sparta Rotterdam,30,68,0.4411764705882353
2009/2010,7955,Neuchâtel Xamax,55,126,0.4365079365079365
2014/2015,6413,PEC Zwolle,59,136,0.4338235294117647
2015/2016,7943,Sassuolo,49,114,0.4298245614035088
2014/2015,9876,Hellas Verona,49,114,0.4298245614035088
2014/2015,7943,Sassuolo,49,114,0.4298245614035088
2014/2015,6433,Go Ahead Eagles,29,68,0.4264705882352941
