player_api_id,player_name,rating_inicial,rating_final,evolucao
2625,"Patryk Rachwal,18",63.0,61.0,-2.0
2752,Diego Mainz,62.0,72.0,10.0
2768,Jose Dorado,56.0,74.0,18.0
2770,Ignacio Gonzalez,73.0,69.0,-4.0
2790,Alberto Rey,72.0,67.0,-5.0
2796,Javier Jimenez,60.0,69.0,9.0
2802,Pablo Hernandez,67.0,76.0,9.0
2805,Ruben Perez,60.0,76.0,16.0
2857,Ivan Perez,70.0,65.0,-5.0
2862,Vicente Sanchez,76.0,72.0,-4.0
2907,Gregory Lacombe,59.0,65.0,6.0
2973,Ugur Inceman,67.0,68.0,1.0
2977,David Rivas Rodriguez,82.0,62.0,-20.0
2983,Jorge Molina,64.0,75.0,11.0
2984,Sergio Aragones,65.0,65.0,0.0
3140,Alexandre Hauw,66.0,66.0,0.0
3204,Marat Izmailov,76.0,73.0,-3.0
3263,Kelly Berville,56.0,67.0,11.0
3264,Abdelmalek Cherrad,61.0,62.0,1.0
3316,Oscar Sanchez,70.0,67.0,-3.0
3329,Vincent Euvrard,62.0,64.0,2.0
3377,Luca Belingheri,44.0,68.0,24.0
3441,Aleksander Radosavljevic,66.0,65.0,-1.0
3512,Peter Halmosi,66.0,65.0,-1.0
3517,Alexandr Kerzhakov,81.0,77.0,-4.0
3520,Andrey Arshavin,83.0,75.0,-8.0
4747,Lee Wilkie,65.0,73.0,8.0
4863,Boban Grncarov,65.0,66.0,1.0
4902,Iriney,71.0,69.0,-2.0
4939,Tim Clancy,60.0,57.0,-3.0
4999,Sebastian Olszar,57.0,57.0,0.0
5016,Ibrahim Sidibe,64.0,65.0,1.0
5044,Jeroen Verhoeven,63.0,65.0,2.0
5047,Wilko de Vogt,61.0,61.0,0.0
5063,Sander Duits,63.0,67.0,4.0
5184,Gudmundur Steinarsson,62.0,62.0,0.0
5192,Manuel Silas,72.0,72.0,0.0
5202,Remy Gomis,54.0,71.0,17.0
5217,Laurent Batlles,74.0,73.0,-1.0
5223,Raffaele Rubino,62.0,62.0,0.0
5233,Iban Javier Cuadrado,71.0,63.0,-8.0
